SRR26691082.fastq.gz\t-\tLIV_ma1
SRR26691083.fastq.gz\t-\tLIV_im3
SRR26691084.fastq.gz\t-\tLIV_im2
SRR26691085.fastq.gz\t-\tLIV_im1
SRR26691086.fastq.gz\t-\tINT_ma2
SRR26691087.fastq.gz\t-\tINT_ma1
SRR26691088.fastq.gz\t-\tINT_im3
SRR26691089.fastq.gz\t-\tINT_ma3
SRR26691090.fastq.gz\t-\tLIV_ma3
SRR26691091.fastq.gz\t-\tLIV_ma2
SRR26691092.fastq.gz\t-\tINT_im2
SRR26691093.fastq.gz\t-\tINT_im1
